title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
When Grandpa Spent De Night,Margaret P. Lorick,Lorick,"De chillun all wuz grinnin',
An' ev'ything wuz bright;
'Cause we alluz had a good time
When grandpa...",May ,1907,Voice of the Negro,J. Max Barber,,female,,,Chicago,Predom. Black,
When,George Reginald Margetson,Margetson,"When shall my hand and heart be free
To try the far off heights of Fame,
On...",October,1907,Voice of the Negro,J. Max Barber,,male,Progress-and-Racial Uplift,,Chicago,Predom. Black,
Ecstasy,Azalia E. Martin,Martin,"The poet pens with busy brain
A joyous little song;
He reads it o'er and o'er again,
It...",January,1907,Voice of the Negro,J. Max Barber,,female,,,Chicago,Predom. Black,
The Day of Life,Charles L. Mayberry,Mayberry,"I stood 'neath the boughs of the slender oaks
At the dawn of a fair spring...",March,1907,Voice of the Negro,J. Max Barber,,male,,,Chicago,Predom. Black,
I Know A Paradise Apart,Henry Davis Middleton,Middleton,"Princess of fortune, fads and chance,
   Beau Brummels of the present day, ...",May,1907,Voice of the Negro,J. Max Barber,,male,,,Chicago,Predom. Black,
Unrequited Love,Jasper Tappan Phillips,Phillips,"As twilight marked the closing day
   And all was still,
I looked upon the...",May,1907,Voice of the Negro,J. Max Barber,,male,,,Chicago,Predom. Black,
A Query,Daniel B. Thompson,Thompson,"I love to sit in a shady park,
When evening's sun is sinking low,
Amid the landscape's...",January,1907,Voice of the Negro,J. Max Barber,,male,,,Chicago,Predom. Black,
Threnody for a Brown Girl,Countee Cullen,Cullen,"Weep not, you who love her --
What rebellious flow
Grief undams shall recover
Whom the gods bid...",May,1925,Poetry,Harriet Monroe,"Threnody, Elegy",male,Black Beauty,The Crisis,Chicago,Predom. White,
Close Your Eyes! (1927),Arna Bontemps,Bontemps,"GO THROUGH the gates with closed eyes.
Stand erect and let your black face front the...",May,1927,The Carolina Magazine,Lewis Alexander,,male,Travel-Migration-Great Migration,Caroling Dusk,"Chapel Hill, NC",Predom. White,
Old Mansion (1927),Arna Bontemps,Bontemps,"Old Mansion
By Arna Bontemps
Poplars are standing there still as death
And ghosts of dead men
Meet their...",May,1927,The Carolina Magazine,Lewis Alexander,,male,Slavery,,"Chapel Hill, NC",Predom. White,
Quintilla (1927),Arna Bontemps,Bontemps,"I sought you long, your likeness in the sunsets
Beckoning me; on my knees
I came but...",May,1927,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Apology (1927),Carllie Williams Clifford,Clifford,"Forgive me that my voice is low,
And charged with sorrow my brief song,
For I must...",May,1927,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
An Old Story ,Countee Cullen,Cullen,"“I must be ready when he comes,” she said,
“Besieger of the heart, the long adored;
And...",May,1927,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Paradox (1927),Angelina W. Grimke,Grimke,"WHEN face to face we stand
   And eye to eye,
How far apart we...",May,1927,The Carolina Magazine,Lewis Alexander,,female,,Caroling Dusk,"Chapel Hill, NC",Predom. White,
Under the Days (1927),Angelina W. Grimke,Grimke,"The days fall upon me;
One by one, they fall,
Like leaves. . . .
They are black,
They...",May,1927,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Threnody to Alice ,Donald Jeffrey Hayes,Hayes,"Go trace the brilliance
Of a shooting star
Across the sky
And learn O timid Soul
That happiness is...",May,1927,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Bulwark (1927),Langston Hughes,Hughes,"You were the last bulwark of my dreams,
And now you, too, have tumbled down into...",May,1927,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Welt ,Georgia Douglas Johnson,Johnson,"Would I might mend the fabric of my youth
Which daily flaunts its tatters to my...",May,1927,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Virginia Memories ,Edward S. Silvera,Silvera,"Comparison
Dawn--
And the forms of trees
Against the sky,
Dark trees,
Scrawny and earth hardened
Like the hands of those...",May,1927,The Carolina Magazine,Lewis Alexander,Free Verse,male,Trave-Migration-Great Migration,,"Chapel Hill, NC",Predom. White,
Barefoot Blues ,Lewis Alexander,Alexander,"It was dead winter time
Ma feet flat on de groun'.
It was dead winter time
And ma...",May,1928,The Carolina Magazine,Lewis Alexander,Blues,male,Incarceration,,"Chapel Hill, NC",Predom. White,
Bought Sense ,Lewis Alexander,Alexander,"Ma woman don' love me
De gypsy she done tol' me so.
Ma woman don' love me
De...",May,1928,The Carolina Magazine,Lewis Alexander,Blues,male,,,"Chapel Hill, NC",Predom. White,
Tree Meditation ,Lewis Alexander,Alexander,"How very like a tree
Alas am I
And like to bursting blossoms
Are my thoughts.
Some will remain...",May,1928,The Carolina Magazine,Lewis Alexander,Free Verse,male,,,"Chapel Hill, NC",Predom. White,
Jazz (1928),Arna Bontemps,Bontemps,"Brown girls that my arms have known,
Old loves and better days
Come back again to trouble...",May,1928,The Carolina Magazine,Lewis Alexander,Free Verse,male,"Jazz, Music",,"Chapel Hill, NC",Predom. White,
Nocturne of the Wharves (1928),Arna Bontemps,Bontemps,"All night they whine upon their ropes and boom
Against the dock with helpless prows :
These...",May,1928,The Carolina Magazine,Lewis Alexander,,male,Travel-Migration-Great Migration,,"Chapel Hill, NC",Predom. White,
Old Man Buzzard ,Sterling A. Brown,Brown,"Old Man Buzzard
Wid his bal' head
Flopped in de fiel'
An' eyed young Fred
Clacked his beak, an'...",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Warning (1928),Carrie Williams Clifford,Clifford,"The Law that spins these toy-top worlds in space,
Divides the opaque darkness from the day,
Directs...",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,Progress and Racial Uplift,,"Chapel Hill, NC",Predom. White,
Appeal (1928),Carrie Williams Clifford,Clifford,"Three centuries beneath your haughty heel,
Humble and ignorant, debased and poor,
Like mendicants before your temple-door,
The...",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,"Racism, Lynching and Racialized Violence",,"Chapel Hill, NC",Predom. White,
Of the Earth ,Mae V. Cowdery,Cowdery,"A mountain
Is earth's mouth . . .
She thrusts her lovely
Sun painted lips
To the clouds ....",May,1928,The Carolina Magazine,Lewis Alexander,Free Verse,female,,,"Chapel Hill, NC",Predom. White,
Da Jail Blues Song ,Waring Cuney,Cuney,"Ah left ma mother's home
Jess to be wid him.
Ah qit ma mother's home
So ah could...",May,1928,The Carolina Magazine,Lewis Alexander,Blues,male,Incarceration,,"Chapel Hill, NC",Predom. White,
Once Bad Gal ,Waring Cuney,Cuney,"Once Bad Gal
Ah was a good gal
Before Ah struck dis town,
Ah was a good, good...",May,1928,The Carolina Magazine,Lewis Alexander,Blues ,male,,,"Chapel Hill, NC",Predom. White,
Aint Nobody But You ,Waring Cuney,Cuney,"Smooth black man of mine
'Aint nobody but you.
No matter where you go
Or what you do
I...",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Suicide ,Waring Cuney,Cuney,"Last time they saw her
She was down by the river
Lawdy, Lawd,
Please forgive her.
Gamblers got her...",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
A Prayer (1928),Alice Dunbar-Nelson,Dunbar-Nelson,"Lord, keep my soul from bitterness and sting,
My heart from searing scorch and crushing blight;
I...",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,,,"Chapel Hill, NC",Predom. White,
Episode ,Jessie Fauset,Fauset,"The memory of you is slight in my mind,
But poignant.
Like a sole, unrepeated experience,
Like the...",May,1928,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Trees (1928),Angelina W. Grimke,Grimke,"God made them very beautiful, the trees:
He spoke and gnarled of bole or silken sleek
They...",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,Lynching and Racialized Violence,,"Chapel Hill, NC",Predom. White,
Lament ,Donald Jeffrey Hayes,Hayes,"I draw the purple folds of iniquity about me
And lay me down in the golden...",May,1928,The Carolina Magazine,Lewis Alexander,,male,,,"Chapel Hill, NC",Predom. White,
Lover's Return (1928),Langston Hughes,Hughes,"Ma old time daddy
Came back home last night.
His face was pale an'
His eyes didn't look...",May,1928,The Carolina Magazine,Lewis Alexander,Blues,male,,,"Chapel Hill, NC",Predom. White,
Boy (1928),Langston Hughes,Hughes,"He was somewhat like Ariel
   And somewhat like Puck
And somewhat like a gutter...",May,1928,The Carolina Magazine,Lewis Alexander,,male,Incarceration,,"Chapel Hill, NC",Predom. White,
Boy on Beale Street (1928),Langston Hughes,Hughes,"The dream is vague
And all confused
With dice and women
And jazz and booze.
The dream is vague,
Without...",May,1928,The Carolina Magazine,Lewis Alexander,,male,Jazz,,"Chapel Hill, NC",Predom. White,
African Dancer in Paris (1928),Langston Hughes,Hughes,"She has a lover far away
   In some palm-covered street
And, more than any...",May,1928,The Carolina Magazine,Lewis Alexander,,male,Trave-Migration-Great Migration,,"Chapel Hill, NC",Predom. White,
The Black Runner ,Georgia Douglas Johnson,Johnson,"I'm awake, I'm away!
I have jewels in trust,
They are rights of the soul
That are holy...",May,1928,The Carolina Magazine,Lewis Alexander,,female,Progress and Racial Uplift,,"Chapel Hill, NC",Predom. White,
Contemplation ,Georgia Douglas Johnson,Johnson,"The happy woman never cares
For flaming tournaments.
She wears 
A fine contentment, and her hours
Are fragrant.
Like...",May,1928,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Nonchalance ,Georgia Douglas Johnson,Johnson,"I'll not return to Fortune's wheel,
She is a Jade!
And laughs to scorn the trust I...",May,1928,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Store ,Georgia Douglas Johnson,Johnson,"Tomorrow!
As a mocking skull,
Come if you will;
Today was mine,
And in its shine
I did distill
Full meed...",May,1928,The Carolina Magazine,Lewis Alexander,,female,,,"Chapel Hill, NC",Predom. White,
Belle Mam'selle of Martinique ,John F. Matheus,Matheus,"Belle Mam'selle of Martinique,
Tell us why your dainty feet
Trip so blithe the Elysees,
How your rainbow...",May,1928,The Carolina Magazine,Lewis Alexander,,male,"Caribbean, Black beauty",,"Chapel Hill, NC",Predom. White,
The Feast of Death ,Edward S. Silvera,Silvera,"You and I
At the Feast of Death,
When bidden by our unseen host
Will lift a common...",May,1928,The Carolina Magazine,Lewis Alexander,Free Verse,male,,,"Chapel Hill, NC",Predom. White,
A Portrait ,James H. Young,Young,"YOU
are like a melody
that comes floating to me ,
over the quiet of a summer day
when...",May,1928,The Carolina Magazine,Lewis Alexander,Free Verse,male,,,"Chapel Hill, NC",Predom. White,
New Wars,Benjamin Griffith Brawley,Brawley,"HURL on the lance! Break up the ancient peace!
Now let the arrow hiss in air...",November,1900,Colored American ,Walter W. Wallace,Common Measure,male,"Spanish-American War, Empire",,Boston,Predom. Black,
A Picture,Olivia Ward Bush-Banks,Bush-Banks,"I drew a picture long ago —
A picture of a sullen sea;
A picture that I...",June,1900,Colored American ,Walter W. Wallace,Common Measure,female,,,Boston,Predom. Black,
The Christmas Reunion,Augustus M. Hodges,Hodges,"Twas a bright Christmas morning in ""Ole Kentuck"";
Aunt Sallie was busy disrobing a duck-
A featherless...",December,1900,Colored American ,Walter W. Wallace,,male,Slavery,,Boston,Predom. Black,
A Memorial of Frederick Douglass,C. Henry Holmes,Holmes,"He was a noble hero, born in an humble state,
But with a will like Nero,...",September,1900,Colored American ,Walter W. Wallace,Elegy,male,Frederick Douglass,,Boston,Predom. Black,
The Negro's Worth,Alonzo Milton Skrine,Skrine,"Who casts a slur on Negro worth, a stain on Negro fame?
Who dreads to own...",December,1900,Colored American ,Walter W. Wallace,,male,"Civil War, Spanish-American War, Labor, Slavery, Progress and Racial Uplift",,Boston,Predom. Black,
Afro-American,Charles Frederick White,White,"O, country, 'tis of thee,
Land of the Lynching Bee,
   Of thee I sing.
How...",September,1900,Colored American ,Walter W. Wallace,,male,"Lynching and Racialized Violence, Patriotism, Racism",,Boston,Predom. Black,
Neath the Crown and Maple Leaf,A.R. Abbott,Abbott,"A SIGH is breathed from million heart.
From Slavery's chains set free:
A million tongues now sadly...",March,1901,Colored American ,Walter W. Wallace,"Elegy, Common Measure",male,Empire,,Boston,Predom. Black,
Childhood's Memory,Violette Neatly Blackwell,Blackwell,"It was a dream, a dream of happiness,
A dream of love, so filled with melody...",December,1901,Colored American,Walter W. Wallace,Common Measure,female,,,Boston,Predom. Black,
Holly Berry and Mistletoe: Lyrics,William Stanley Braithwaite,Braithwaite,"I.
THE trees are bare, wild flies the snow,
   Hearths are glowing, hearts are...",December,1901,Colored American,Walter W. Wallace,,male,,Lyrics of Love and Laughter,Boston,Predom. Black,
Thanksgiving,William Stanley Braithwaite,Braithwaite,"My heart gives thanks for many things—
   For strength to labor day by...",November,1901,Colored American ,Walter W. Wallace,,male,,"Lyrics of Love and Laughter, Dunbar Speaker and Entertainer",Boston,Predom. Black,
In My Garden,William Stanley Braithwaite,Braithwaite,"Today 'tis sunny June, the breeze is soft
   And pauses sweetly dying where...",June,1901,Colored American,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,
June,William Stanley Braithwaite,Braithwaite,"Again when nature glows
   With a sweet smile of tender rirent bloom;
And when...",June,1901,Colored American,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,
A Little World,William Stanley Braithwaite,Braithwaite,"Dear one, when we are wed in happy bliss,
   When cares and heart...",September,1901,Colored American ,Walter W. Wallace,Common Measure,male,,,Boston,Predom. Black,
A Leave Taking,William Stanley Braithwaite,Braithwaite,"Love one word more
Before you go—
Some sweet, sad thing
Remembering ,
Alas, to know---
Some hope you fed,...",September,1901,Colored American,Walter W. Wallace,,male,,,Boston,Predom. Black,
Two on the Cliffs,William Stanley Braithwaite,Braithwaite,"Two on the cliffs by the purple sea,
With the waves unbound and the sea -winds...",September,1901,Colored American,Walter W. Wallace,,male,,,Boston,Predom. Black,
Easter Day,William Stanley Braithwaite,Braithwaite,"Today I woke and looked upon the heath
   And odorous breath
Of lilies, and...",April,1901,Colored American ,Walter W. Wallace,,male,,,Boston,Predom. Black,
To Beatrice,William Stanley Braithwaite,Braithwaite,"The tender notes of Philomel
   Heard far in the star -lit woods ,
Are...",September,1901,Colored American ,Walter W. Wallace,,male,,,Boston,Predom. Black,
The Bells of Notre Dame,Benjamin Griffith Brawley,Brawley,"Far up in the cathedral, so they tell ,
   There lived the lonely...",November,1901,Colored American,Walter W. Wallace,Sonnet,male,Intertext,,Boston,Predom. Black,
Prayer-Bells,Benjamin Griffith Brawley,Brawley,"When with itself the soul communion holds ,
   And speaks none other than...",July,1901,Colored American ,Walter W. Wallace,Sonnet,male,Religion,,Boston,Predom. Black,
To --------- (A Sonnet),James D. Corrothers,Corrothers,"Beyond the hilltops to the north and west.
   Beyond the dells, and past...",November,1901,Colored American,Walter W. Wallace,Sonnet,male,,,Boston,Predom. Black,
The Snapping of the Bow,James D. Corrothers,Corrothers,"I dreamed a dream, and, in my dream, I heard
One wail at midnight by a...",May,1901,Colored American,Walter W. Wallace,,male,Slavery,,Boston,Predom. Black,
A Dixie Thanksgivin',James D. Corrothers,Corrothers,"Hollerdays hab come once mo '
Hyar it am Thanksgivin '!
Ole man gittin' stiff an '...",April,1901,Colored American ,Walter W. Wallace,,male,AAVE,,Boston,Predom. Black,
Me 'n' Dunbar,James D. Corrothers,Corrothers,"One day when me 'n' Dunbar wuz a-hocin' in de co'n ,
Bofe uv us tried...",July,1901,Colored American ,Walter W. Wallace,,male,"AAVE, Paul Laurence Dunbar",,Boston,Predom. Black,
The Gift of the Greatest God,James D. Corrothers,Corrothers,"It was in the magic city, in Apollo's temple there,—
'Mid scenes of brilliant splendor ,...",December,1901,Colored American ,Walter W. Wallace,,male,Patriotism,,Boston,Predom. Black,
Skeetin' On De Ice,Daniel Webster Davis,Davis,"At a little country meeting in a log house near the road,
   The...",April,1901,Colored American,Walter W. Wallace,Common Measure,male,"AAVE, Religion",Idle Moments (1895),Boston,Predom. Black,
Stickin' To De Hoe,Daniel Webster Davis,Davis,"Dar's mighty things agwine on,
   Sense de days when I wuz young;
An' folks...",April,1901,Colored American,Walter W. Wallace,,male,AAVE,Idle Moments (1895),Boston,Predom. Black,
A Rose,Daniel Webster Davis,Davis,"This rose of the garden is given to me,
And to double its value 'twas given...",April,1901,Colored American,Walter W. Wallace,,male,Religion,Idle Moments (1895),Boston,Predom. Black,
I Can Trust,Daniel Webster Davis,Davis,"I can not see why trials come,
   And sorrows follow thick and fast;
I...",April,1901,Colored American,Walter W. Wallace,,male,Religion,Idle Moments (1895),Boston,Predom. Black,
Jes' Gib Him One Ub Mine,Daniel Webster Davis,Davis,"A little urchin, ragged, black, an old cigar ""stump"" found,
And visions of a jolly smoke...",March,1901,Colored American ,Walter W. Wallace,,male,AAVE,,Boston,Predom. Black,
Foolin' Wid De Seasons,Paul Laurence Dunbar,Dunbar,"Seems lak folks is mighty curus
    In de way dey t'inks an'...",April ,1901,Colored American ,Walter W. Wallace,,male,AAVE,Humor and Dialect,Boston,Predom. Black,
Time To Tinker Roun',Paul Laurence Dunbar,Dunbar,"Summah 's nice, wif sun a-shinin',
    Spring is good wif greens and...",April,1901,Colored American ,Walter W. Wallace,,male,AAVE,Humor and Dialect,Boston,Predom. Black,
A Plea,Paul Laurence Dunbar,Dunbar,"Treat me nice, Miss Mandy Jane,
      Treat me nice.
Dough my...",April,1901,Colored American,Walter W. Wallace,,male,,Lyrics of Love and Laughter,Boston,Predom. Black,
Life,Paul Laurence Dunbar,Dunbar,"A crust of bread and a corner to sleep in,
  A minute to smile...",April,1901,Colored American,Walter W. Wallace,,male,,Lyrics of Lowly Life,Boston,Predom. Black,
With the Lark,Paul Laurence Dunbar,Dunbar,"Night is for sorrow and dawn is for joy,
  Chasing the troubles that fret...",April,1901,Colored American ,Walter W. Wallace,,male,,Lyrics of Lowly Life,Boston,Predom. Black,
Unwritten History,John Riley Dungee,Dungee,"MINE is the humble duty and endeavor to relate
A point of information that the hist'rics...",April,1901,Colored American ,Walter W. Wallace,Common Measure,male,"Slavery, Civil War",,Boston,Predom. Black,
The Mother's Question,Augustus M. Hodges,Hodges,"As visions of the past, by memory led,
From every opening vista crowd the mind,
Till all...",June,1901,Colored American ,Walter W. Wallace,,male,Motherhood,,Boston,Predom. Black,
In Dreamland,Augustus M. Hodges,Hodges,"I OWN estate with shady bowers,
Enthroned upon a tropic isle,
With fragrant plants and fruits and...",March,1901,Colored American ,Walter W. Wallace,,male,,,Boston,Predom. Black,
William McKinley,Cleveland Suarez,Suarez,"The silent air is musical with thought---
I hear the beating of the nation's heart ;
It...",October,1901,Colored American,Walter W. Wallace,Elegy,male,,,Boston,Predom. Black,
Winter's Shroud,Hattie E. Wallace,Wallace,"THOUGH the day be dark and dreary
   In our journey on through life,
There...",January,1901,Colored American ,Walter W. Wallace,,female,,,Boston,Predom. Black,
The Friend I Love,Ada M. Wright,Wright,"I LOVE a friend whose cheering voice
Can soothe my aching heart;
Can wipe the tears of...",February,1901,Colored American ,Walter W. Wallace,,female,,,Boston,Predom. Black,
Lincoln,T. Thomas Fortune,Fortune,"The waves dashed high; the thunders echoed far;
The lightnings flashed into the dismal gloom
The bolts...",January,1902,Colored American ,Walter W. Wallace,"Sonnet, Elegy",male,"Abraham Lincoln, Civil War",Dreams of Life,Boston,Predom. Black,
Home,Robert Hamilton,Hamilton,"How charm'd is the car by this one, simple word!
It quickens the pulse, though so...",January,1902,Colored American,Walter W. Wallace,,male,,,Boston,Predom. Black,
A Latter-Day Eden,Colonel Charles Young,Young,"It was a twentieth century eden, mine ;
A modern Adam, I; and for my Eve...",January,1902,Colored American,Walter W. Wallace,,male,"Labor, Spanish-American War",,Boston,Predom. Black,
The Nativity,T. Bolden Steward,Steward,"A child is born; all in the Earth and Sky
Chorus unending song at this great...",December,1902,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
Christmas Thoughts,Mrs. H. M. Reid,Reid,"I was sitting by the are,
On a cold, cold wintery might,
Listening to the children's prattle
In...",December,1902,Colored American Magazine,Walter W. Wallace,,female,,,Boston,Predom. Black,
A Modern Othello,I. Dwight Fairfield,Fairfield,"Of that same swarthy tint and hue,
Of tales as thrilling and as true,
  ...",December,1902,Colored American Magazine,Walter W. Wallace,,male,"Intertext, Interracial",,Boston,Predom. Black,
Father Time,Effie D. Threet,Threet ,"All blessings on thee, Father Time,
Thou art the theme of prose and rhyme.
Oh, let me...",January,1903,Colored American Magazine,Walter W. Wallace,,female,,,Boston,Predom. Black,
The Battleground,Benjamin Griffith Brawley,Brawley,"Let me live close to men's hearts. In the years
When youth is full, let me...",January,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
Lincoln,(Anonymous),(Anonymous),"Rest Lincoln, rest! thy work is done,
Thy record is on high.
Thy soul,which here communed with...",February,1903,Colored American Magazine,Walter W. Wallace,,,Abraham Lincoln,S.W. Christian Advocate (n.d.),Boston,Predom. Black,
The Psalm of a Race,James D. Corrothers,Corrothers,"Earth hath not one trampled mortal
Whom an all-wise Maker gave
Sense and reason but to foretell
Him...",March,1903,Colored American Magazine,Walter W. Wallace,,male,"Progress and Racial Uplift, Racism, ",,Boston,Predom. Black,
I Can Trust,Daniel Webster Davis,Davis,"I can not see why trials come,
   And sorrows follow thick and fast;
I...",May,1903,Colored American Magazine,Walter W. Wallace,,male,Religion,,Boston,Predom. Black,
Truth,Frances E.W. Harper,Harper,"A rock for ages stern and high,
Stood frowning 'gainst the earth and sky;
And never bowed...",May,1903,Colored American Magazine,Walter W. Wallace,,female,,,Boston,Predom. Black,
Poem,Hilary Teague,Teague,"Land of the mighty Dead!
Here Science once display'd,
   And Art, their charms;
Here awful...",May,1903,Colored American Magazine,Walter W. Wallace,,male,"Slavery Africa, Travel-Migration-Great Migration",Liberian Herald,Boston,Predom. Black,
Childhood's Days,Effie D. Threet,Threet ,"Childhood days are golden treasures,
   That doth brighten every life,
Oh! how precious is...",May,1903,Colored American Magazine,Walter W. Wallace,,female,Childhood,,Boston,Predom. Black,
Lead By Thy Life,Clifford E. Jones,Jones,"Be worthy of the trust that's placed in you,
By doing well that which you have...",July,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
In My Lady's Praise,William Stanley Braithwaite,Braithwaite,"A perfect work, God made somewhere,
I only know that thou art fair.
Made of some priceless...",August,1903,Colored American Magazine,Walter W. Wallace,,male,"Interracial, Black Beauty",,Boston,Predom. Black,
Columbia's Disgrace,Townsend Allen,Allen,"Ay, black was the man, and black was the deed,
But blacker by far was the...",August,1903,Colored American Magazine,Walter W. Wallace,,male,Lynching and Racialized Violence,,Boston,Predom. Black,
Love's Messages,James R. Tines,Tines,"Ah, sweet, when I am far from you
   And I sit, with stars...",August,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
The New Battle Hymn,Townsend Allen,Allen,"Again is heard the crying of the children in the night,
They are praying to the...",September,1903,Colored American Magazine,Walter W. Wallace,,male,"Lynching and Racialized Violence, Intertext",,Boston,Predom. Black,
Inspiration,Hezekiah Butterworth,Butterworth,"I.

The highest aims forever live,
And reach sublime events,
They prophesy and they fulfil,
And bring divine contents.
Oh,...",September,1903,Colored American Magazine,Walter W. Wallace,,male,"Civil War, Abraham Lincoln, Slavery",,Boston,Predom. Black,
A Soul to a Flower,Julia L. Moseby,Moseby,"I. 

O, flower fair,
With beauty rare,
To be like thee
It is my prayer.

II.

To be so pure,
My...",October,1903,Colored American Magazine,Walter W. Wallace,,female,,,Boston,Predom. Black,
Just a Friend,Clifford E. Jones,Jones,"Say, can it be you do not know
That in the Summer long ago,
My friendship into...",October,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
An Awful Problem Solved,James D. Corrothers,Corrothers,"I. 

The city, Washington, D. C.,
That day wuz in its glory--
It 'peared like Paradise to...",November,1903,Colored American Magazine,Walter W. Wallace,,male,"Scientific Racism, AAVE",,Boston,Predom. Black,
The Violin,A. Gude Deekun,Deekun,"Weird and eerie violin
What spirit strange hast thou within,
That from thy seeming empty shell
Would man-forbidden...",November,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
Supense,A. Gude Deekun,Deekun,"My heart is torn within me,
   And my hair is turning gray,
For I've...",November,1903,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
A Song to Afric's Great,Azalia E. Martin,Martin,"Give me a hymn of praises,
   From early morn till late;
A song to...",November,1903,Colored American Magazine,Walter W. Wallace,,female,"Africa, Ode, Race",,Boston,Predom. Black,
The Old Church Bell,Olivia E. Ward,Ward,"Right merrily rings the old church bell,
What joy, what joy its music tells,
Hark! and you...",December,1903,Colored American Magazine,Walter W. Wallace,,female,,,Boston,Predom. Black,
Glen' Barney,Augustus M. Hodges,Hodges,"Twas on a bright midsummer morn,
The sun sent down its hottest ray,
And parched the blades...",December ,1903,Colored American Magazine,Walter W. Wallace,,male,"AAVE, Interracial",,Boston,Predom. Black,
The Princess,Frederick S. Monroe,Monroe,"May it not be true as we have heard,
Fair was the Princess to all most...",January,1904,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
The New Year,The New Year,Charles M. White,"A mystic veil seems to divide
The present from the past;
This mystic veil we push aside,
But...",January,1904,Colored American Magazine,Walter W. Wallace,,male,,,Boston,Predom. Black,
I Make My Bed of Roses,T. Thomas Fortune,Fortune,"I make my bed of roses sweet!
I scorn the frowns of envious Fate!
I will my...",July,1907,Colored American Magazine,Fred R. Moore,,male,,Dreams of Life,Boston,Predom. Black,
The Penitent,Alivra Hazzard,Hazzard,"A cowering figure
Clutching a cross
Enters Heaven
By the back way. ",June,1928,Saturday Evening Quill,Eugene Gordon,,female,Religion,,Boston,Predom. Black,
Colonel Charles Young (Funeral Song),George Reginald Margetson,Margetson,"He cometh, our hero, in silence that wraps him,
   Honored, in exile he...",June,1928,Saturday Evening Quill,Eugene Gordon,Elegy,male,,,Boston,Predom. Black,
Mary Evans Wilson (A Tribute),George Reginald Margetson,Margetson,"Speak kindly of her, who was kind to all,
   Whose genial presence is...",June,1928,Saturday Evening Quill,Eugene Gordon,"Elegy, Sonnet",male,Progress and Racial Uplift,,Boston,Predom. Black,
Ulysses S. Grant,George Reginald Margetson,Margetson,"Soul of the brave, beside thy tomb we pause
   To voice thy praise...",June,1928,Saturday Evening Quill,Eugene Gordon,Sonnet,male,"Civil War, Slavery",,Boston,Predom. Black,
The State House (Dedicated to the Memory of Crispus Attucks and the Soldiers of Democracy),George Reginald Margetson,Margetson,"A gilded dome that lifts into the sky
   Reared from its rugged base...",June,1928,Saturday Evening Quill,Eugene Gordon,,male,American Revolutionary War,,Boston,Predom. Black,
Abraham Lincoln,George Reginald Margetson,Margetson,"While Satan plied his whip and held the rein,
   And knaves and tyrants...",June,1928,Saturday Evening Quill,Eugene Gordon,,male,"Slavery, Abraham Lincoln",,Boston,Predom. Black,
If I Had a Million ,S.A. Beadle,Beadle,"If I had a million dollars I don't know what I'd do,
But I sometimes think...",January,1904,Voice of the Negro,"J.W.E. Bowen, J. Max Barber",Common Measure,male,,,Atlanta,Predom. Black,
On the Commons of Brother John ,S.A. Beadle,Beatle,"My brother John has a cot of down
And a mansion for his home;
The humble bed...",May,1904,Voice of the Negro,"J.W.E. Bowen, J. Max Barber",,male,,,Atlanta,Predom. Black,
